show_id,title,cast,country,date_added,release_year,rating,duration,listed_in,primary_genre
s2,Blood & Water,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021-09-24 00:00:00,2021,TV-MA,2 Seasons,"TV Dramas, TV Mysteries",TV Dramas
s3,Ganglands,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Unknown,2021-09-24 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure",Crime TV Shows
s4,Jailbirds New Orleans,Unknown,Unknown,2021-09-24 00:00:00,2021,TV-MA,1 Season,"Docuseries, Reality TV",Docuseries
s5,Kota Factory,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021-09-24 00:00:00,2021,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s6,Midnight Mass,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Unknown,2021-09-24 00:00:00,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV Dramas
s9,The Great British Baking Show,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021-09-24 00:00:00,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",British TV Shows
s11,"Vendetta: Truth, Lies and The Mafia",Unknown,Unknown,2021-09-24 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",Crime TV Shows
s12,Bangkok Breaking,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",Unknown,2021-09-23 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure",Crime TV Shows
s15,Crime Stories: India Detectives,Unknown,Unknown,2021-09-22 00:00:00,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
s16,Dear White People,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021-09-22 00:00:00,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",TV Comedies
s18,Falsa identidad,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2021-09-22 00:00:00,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Crime TV Shows
